"filename", "language", "Haskell", "vcd", "YAML", "Graphviz (DOT)", "XML", "JSON", "VHDL", "Xilinx Design Constraints", "Python", "Verilog", "C++", "Cabal", "Markdown", "Shell Script", "comment", "blank", "total"
"d:\git\clash-moisc\Clash\ClashProject\vhdl\Lib.Alu.topEntitiyComparisonAlu\ALU.vhdl", "VHDL", 0, 0, 0, 0, 0, 0, 188, 0, 0, 0, 0, 0, 0, 0, 27, 41, 256
"d:\git\clash-moisc\Clash\ClashProject\vhdl\Lib.Alu.topEntitiyComparisonAlu\ALU_types.vhdl", "VHDL", 0, 0, 0, 0, 0, 0, 132, 0, 0, 0, 0, 0, 0, 0, 0, 8, 140
"d:\git\clash-moisc\Clash\ClashProject\vhdl\Lib.Alu.topEntitiyComparisonAlu\clash-manifest.json", "JSON", 0, 0, 0, 0, 0, 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 140
"d:\git\clash-moisc\Clash\ClashProject\vhdl\Lib.Alu.topEntitiyComparisonAlu\edam.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 15, 7, 77
"d:\git\clash-moisc\Clash\ClashProject\vhdl\Lib.Alu.topEntityAlu\ALU.vhdl", "VHDL", 0, 0, 0, 0, 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 24, 29, 183
"d:\git\clash-moisc\Clash\ClashProject\vhdl\Lib.Alu.topEntityAlu\ALU_types.vhdl", "VHDL", 0, 0, 0, 0, 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 7, 127
"d:\git\clash-moisc\Clash\ClashProject\vhdl\Lib.Alu.topEntityAlu\clash-manifest.json", "JSON", 0, 0, 0, 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 112
"d:\git\clash-moisc\Clash\ClashProject\vhdl\Lib.Alu.topEntityAlu\edam.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 15, 7, 72
"d:\git\clash-moisc\Clash\ClashProject\vhdl\Lib.Fsm.topEntitiyComparisonFsm\FSM.sdc", "Xilinx Design Constraints", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 3
"d:\git\clash-moisc\Clash\ClashProject\vhdl\Lib.Fsm.topEntitiyComparisonFsm\FSM.vhdl", "VHDL", 0, 0, 0, 0, 0, 0, 2165, 0, 0, 0, 0, 0, 0, 0, 28, 97, 2290
"d:\git\clash-moisc\Clash\ClashProject\vhdl\Lib.Fsm.topEntitiyComparisonFsm\FSM_types.vhdl", "VHDL", 0, 0, 0, 0, 0, 0, 397, 0, 0, 0, 0, 0, 0, 0, 0, 9, 406
